SEQ	CLASS	Qmm	P	T	E
186	2071_2100	NA	396.499	28.195	4.215
187	2071_2100	NA	104.739	28.151	4.037
188	2071_2100	NA	152.575	28.095	3.814
189	2071_2100	NA	202.456	27.832	3.912
190	2071_2100	NA	401.617	27.196	3.824
191	2071_2100	NA	142.286	28.330	4.038
192	2071_2100	NA	25.542	28.143	4.856
193	2071_2100	NA	1.686	28.067	5.577
194	2071_2100	NA	2.099	27.964	5.705
195	2071_2100	NA	5.397	31.255	6.171
196	2071_2100	NA	44.856	30.899	6.044
197	2071_2100	NA	167.400	29.904	4.695
198	2071_2100	NA	232.474	28.557	4.215
199	2071_2100	NA	127.586	29.253	4.037
200	2071_2100	NA	236.650	28.758	3.814
201	2071_2100	NA	377.643	27.885	3.912
202	2071_2100	NA	380.084	27.827	3.824
203	2071_2100	NA	135.818	28.467	4.038
204	2071_2100	NA	23.088	28.709	4.856
205	2071_2100	NA	3.171	29.263	5.577
206	2071_2100	NA	5.285	29.118	5.705
207	2071_2100	NA	28.038	32.027	6.171
208	2071_2100	NA	49.367	31.399	6.044
209	2071_2100	NA	408.971	30.193	4.695
210	2071_2100	NA	209.973	28.975	4.215
211	2071_2100	NA	213.855	28.916	4.037
212	2071_2100	NA	270.484	28.960	3.814
213	2071_2100	NA	392.128	28.089	3.912
214	2071_2100	NA	416.705	27.616	3.824
215	2071_2100	NA	76.176	28.295	4.038
216	2071_2100	NA	60.170	28.778	4.856
217	2071_2100	NA	2.419	29.172	5.577
218	2071_2100	NA	4.149	28.450	5.705
219	2071_2100	NA	5.056	32.225	6.171
220	2071_2100	NA	194.380	31.447	6.044
221	2071_2100	NA	210.208	30.771	4.695
222	2071_2100	NA	284.703	28.924	4.215
223	2071_2100	NA	156.744	29.358	4.037
224	2071_2100	NA	278.156	28.667	3.814
225	2071_2100	NA	505.722	27.647	3.912
226	2071_2100	NA	430.452	27.456	3.824
227	2071_2100	NA	99.211	28.368	4.038
228	2071_2100	NA	52.872	28.490	4.856
229	2071_2100	NA	3.265	28.985	5.577
230	2071_2100	NA	8.378	28.527	5.705
231	2071_2100	NA	5.609	31.683	6.171
232	2071_2100	NA	53.977	31.222	6.044
233	2071_2100	NA	214.543	29.694	4.695
234	2071_2100	NA	225.906	28.512	4.215
235	2071_2100	NA	244.292	28.932	4.037
236	2071_2100	NA	212.161	28.270	3.814
237	2071_2100	NA	385.991	27.211	3.912
238	2071_2100	NA	587.850	27.646	3.824
239	2071_2100	NA	219.673	27.799	4.038
240	2071_2100	NA	20.596	28.337	4.856
241	2071_2100	NA	4.426	28.298	5.577
242	2071_2100	NA	3.428	28.619	5.705
243	2071_2100	NA	26.768	31.621	6.171
244	2071_2100	NA	79.593	30.801	6.044
245	2071_2100	NA	432.995	29.736	4.695
246	2071_2100	NA	470.902	28.144	4.215
247	2071_2100	NA	198.769	28.620	4.037
248	2071_2100	NA	360.454	28.881	3.814
249	2071_2100	NA	336.362	27.985	3.912
250	2071_2100	NA	435.451	27.644	3.824
251	2071_2100	NA	144.747	27.643	4.038
252	2071_2100	NA	55.589	28.586	4.856
253	2071_2100	NA	19.968	28.815	5.577
254	2071_2100	NA	4.699	28.524	5.705
255	2071_2100	NA	18.651	31.554	6.171
256	2071_2100	NA	64.633	30.431	6.044
257	2071_2100	NA	485.620	29.801	4.695
258	2071_2100	NA	256.691	28.850	4.215
259	2071_2100	NA	109.443	29.208	4.037
260	2071_2100	NA	77.599	28.630	3.814
261	2071_2100	NA	306.421	28.822	3.912
262	2071_2100	NA	262.295	28.014	3.824
263	2071_2100	NA	59.946	28.266	4.038
264	2071_2100	NA	28.093	28.822	4.856
265	2071_2100	NA	3.763	29.576	5.577
266	2071_2100	NA	28.748	29.055	5.705
267	2071_2100	NA	27.337	32.594	6.171
268	2071_2100	NA	44.017	32.601	6.044
269	2071_2100	NA	119.365	30.299	4.695
270	2071_2100	NA	270.016	29.258	4.215
271	2071_2100	NA	175.831	29.508	4.037
272	2071_2100	NA	232.064	29.215	3.814
273	2071_2100	NA	369.694	28.116	3.912
274	2071_2100	NA	426.085	27.888	3.824
275	2071_2100	NA	224.085	27.628	4.038
276	2071_2100	NA	76.320	28.764	4.856
277	2071_2100	NA	3.897	29.264	5.577
278	2071_2100	NA	25.468	28.986	5.705
279	2071_2100	NA	23.128	31.906	6.171
280	2071_2100	NA	69.251	31.366	6.044
281	2071_2100	NA	202.788	28.984	4.695
282	2071_2100	NA	286.854	28.692	4.215
283	2071_2100	NA	312.477	28.724	4.037
284	2071_2100	NA	221.867	28.725	3.814
285	2071_2100	NA	429.881	27.669	3.912
286	2071_2100	NA	334.093	27.779	3.824
287	2071_2100	NA	106.798	27.961	4.038
288	2071_2100	NA	21.518	28.401	4.856
289	2071_2100	NA	2.915	28.827	5.577
290	2071_2100	NA	4.400	28.617	5.705
291	2071_2100	NA	4.622	31.544	6.171
292	2071_2100	NA	105.342	30.923	6.044
293	2071_2100	NA	162.997	29.803	4.695
294	2071_2100	NA	300.668	28.413	4.215
295	2071_2100	NA	181.693	28.687	4.037
296	2071_2100	NA	230.659	28.644	3.814
297	2071_2100	NA	265.904	28.239	3.912
298	2071_2100	NA	410.846	27.514	3.824
299	2071_2100	NA	130.965	27.397	4.038
300	2071_2100	NA	20.826	28.397	4.856
