SEQ	CLASS	Qmm	P	T	E
178	1961_1990	NA	345.895	25.824	3.884227991
179	1961_1990	NA	376.939	26.076	4.020458221
180	1961_1990	NA	25.293	26.367	4.649784565
181	1961_1990	NA	6.904	26.657	5.166289806
182	1961_1990	NA	5.648	26.260	5.474077225
183	1961_1990	NA	7.937	29.479	5.746303558
184	1961_1990	NA	47.942	29.033	5.551989079
185	1961_1990	NA	165.144	27.747	4.509092331
186	1961_1990	NA	376.276	26.424	3.962051868
187	1961_1990	NA	134.203	26.757	4.095198154
188	1961_1990	NA	160.850	26.588	4.191273689
189	1961_1990	NA	207.138	25.962	4.01298666
190	1961_1990	NA	319.695	25.824	3.884227991
191	1961_1990	NA	137.783	26.076	4.020458221
192	1961_1990	NA	14.489	26.367	4.649784565
193	1961_1990	NA	3.057	26.657	5.166289806
194	1961_1990	NA	1.858	26.260	5.474077225
195	1961_1990	NA	3.490	29.479	5.746303558
196	1961_1990	NA	32.424	29.033	5.551989079
197	1961_1990	NA	158.021	27.747	4.509092331
198	1961_1990	NA	212.252	26.424	3.962051868
199	1961_1990	NA	157.049	26.757	4.095198154
200	1961_1990	NA	244.926	26.588	4.191273689
201	1961_1990	NA	382.325	25.962	4.01298666
202	1961_1990	NA	298.162	25.824	3.884227991
203	1961_1990	NA	131.315	26.076	4.020458221
204	1961_1990	NA	12.036	26.367	4.649784565
205	1961_1990	NA	4.543	26.657	5.166289806
206	1961_1990	NA	5.044	26.260	5.474077225
207	1961_1990	NA	26.131	29.479	5.746303558
208	1961_1990	NA	36.935	29.033	5.551989079
209	1961_1990	NA	399.591	27.747	4.509092331
210	1961_1990	NA	189.750	26.424	3.962051868
211	1961_1990	NA	243.319	26.757	4.095198154
212	1961_1990	NA	278.759	26.588	4.191273689
213	1961_1990	NA	396.810	25.962	4.01298666
214	1961_1990	NA	334.783	25.824	3.884227991
215	1961_1990	NA	71.673	26.076	4.020458221
216	1961_1990	NA	49.118	26.367	4.649784565
217	1961_1990	NA	3.790	26.657	5.166289806
218	1961_1990	NA	3.908	26.260	5.474077225
219	1961_1990	NA	3.149	29.479	5.746303558
220	1961_1990	NA	181.948	29.033	5.551989079
221	1961_1990	NA	200.828	27.747	4.509092331
222	1961_1990	NA	264.481	26.424	3.962051868
223	1961_1990	NA	186.207	26.757	4.095198154
224	1961_1990	NA	286.431	26.588	4.191273689
225	1961_1990	NA	510.404	25.962	4.01298666
226	1961_1990	NA	348.530	25.824	3.884227991
227	1961_1990	NA	94.708	26.076	4.020458221
228	1961_1990	NA	41.820	26.367	4.649784565
229	1961_1990	NA	4.636	26.657	5.166289806
230	1961_1990	NA	8.137	26.260	5.474077225
231	1961_1990	NA	3.702	29.479	5.746303558
232	1961_1990	NA	41.545	29.033	5.551989079
233	1961_1990	NA	205.163	27.747	4.509092331
234	1961_1990	NA	205.683	26.424	3.962051868
235	1961_1990	NA	273.755	26.757	4.095198154
236	1961_1990	NA	220.436	26.588	4.191273689
237	1961_1990	NA	390.673	25.962	4.01298666
238	1961_1990	NA	505.929	25.824	3.884227991
239	1961_1990	NA	215.170	26.076	4.020458221
240	1961_1990	NA	9.544	26.367	4.649784565
241	1961_1990	NA	5.797	26.657	5.166289806
242	1961_1990	NA	3.186	26.260	5.474077225
243	1961_1990	NA	24.861	29.479	5.746303558
244	1961_1990	NA	67.161	29.033	5.551989079
245	1961_1990	NA	423.615	27.747	4.509092331
246	1961_1990	NA	450.679	26.424	3.962051868
247	1961_1990	NA	228.232	26.757	4.095198154
248	1961_1990	NA	368.729	26.588	4.191273689
249	1961_1990	NA	341.044	25.962	4.01298666
250	1961_1990	NA	353.530	25.824	3.884227991
251	1961_1990	NA	140.244	26.076	4.020458221
252	1961_1990	NA	44.536	26.367	4.649784565
253	1961_1990	NA	21.340	26.657	5.166289806
254	1961_1990	NA	4.458	26.260	5.474077225
255	1961_1990	NA	16.745	29.479	5.746303558
256	1961_1990	NA	52.201	29.033	5.551989079
257	1961_1990	NA	476.240	27.747	4.509092331
258	1961_1990	NA	236.468	26.424	3.962051868
259	1961_1990	NA	138.907	26.757	4.095198154
260	1961_1990	NA	85.874	26.588	4.191273689
261	1961_1990	NA	311.103	25.962	4.01298666
262	1961_1990	NA	180.374	25.824	3.884227991
263	1961_1990	NA	55.443	26.076	4.020458221
264	1961_1990	NA	17.040	26.367	4.649784565
265	1961_1990	NA	5.135	26.657	5.166289806
266	1961_1990	NA	28.506	26.260	5.474077225
267	1961_1990	NA	25.430	29.479	5.746303558
268	1961_1990	NA	31.585	29.033	5.551989079
269	1961_1990	NA	109.985	27.747	4.509092331
270	1961_1990	NA	249.794	26.424	3.962051868
271	1961_1990	NA	205.294	26.757	4.095198154
272	1961_1990	NA	240.340	26.588	4.191273689
273	1961_1990	NA	374.376	25.962	4.01298666
274	1961_1990	NA	344.164	25.824	3.884227991
275	1961_1990	NA	219.582	26.076	4.020458221
276	1961_1990	NA	65.267	26.367	4.649784565
277	1961_1990	NA	5.269	26.657	5.166289806
278	1961_1990	NA	25.226	26.260	5.474077225
279	1961_1990	NA	21.222	29.479	5.746303558
280	1961_1990	NA	56.819	29.033	5.551989079
281	1961_1990	NA	193.409	27.747	4.509092331
282	1961_1990	NA	266.632	26.424	3.962051868
283	1961_1990	NA	341.940	26.757	4.095198154
284	1961_1990	NA	230.143	26.588	4.191273689
285	1961_1990	NA	434.563	25.962	4.01298666
286	1961_1990	NA	252.171	25.824	3.884227991
287	1961_1990	NA	102.295	26.076	4.020458221
288	1961_1990	NA	10.466	26.367	4.649784565
289	1961_1990	NA	4.286	26.657	5.166289806
290	1961_1990	NA	4.159	26.260	5.474077225
291	1961_1990	NA	2.715	29.479	5.746303558
292	1961_1990	NA	92.910	29.033	5.551989079
293	1961_1990	NA	153.617	27.747	4.509092331
294	1961_1990	NA	280.445	26.424	3.962051868
295	1961_1990	NA	211.157	26.757	4.095198154
296	1961_1990	NA	238.935	26.588	4.191273689
297	1961_1990	NA	270.586	25.962	4.01298666
298	1961_1990	NA	328.925	25.824	3.884227991
299	1961_1990	NA	126.462	26.076	4.020458221
300	1961_1990	NA	9.773	26.367	4.649784565
301	1961_1990	NA	10.323	26.657	5.166289806
302	1961_1990	NA	4.629	26.260	5.474077225
303	1961_1990	NA	10.461	29.479	5.746303558
304	1961_1990	NA	24.704	29.033	5.551989079
305	1961_1990	NA	306.158	27.747	4.509092331
306	1961_1990	NA	298.100	26.424	3.962051868
307	1961_1990	NA	119.446	26.757	4.095198154
308	1961_1990	NA	223.715	26.588	4.191273689
309	1961_1990	NA	255.395	25.962	4.01298666
310	1961_1990	NA	317.334	25.824	3.884227991
311	1961_1990	NA	59.592	26.076	4.020458221
312	1961_1990	NA	15.452	26.367	4.649784565
313	1961_1990	NA	2.550	26.657	5.166289806
314	1961_1990	NA	1.070	26.260	5.474077225
315	1961_1990	NA	14.157	29.479	5.746303558
316	1961_1990	NA	61.716	29.033	5.551989079
317	1961_1990	NA	196.698	27.747	4.509092331
318	1961_1990	NA	217.494	26.424	3.962051868
319	1961_1990	NA	414.514	26.757	4.095198154
320	1961_1990	NA	173.067	26.588	4.191273689
321	1961_1990	NA	361.941	25.962	4.01298666
322	1961_1990	NA	226.192	25.824	3.884227991
323	1961_1990	NA	32.575	26.076	4.020458221
324	1961_1990	NA	8.699	26.367	4.649784565
325	1961_1990	NA	4.169	26.657	5.166289806
326	1961_1990	NA	2.503	26.260	5.474077225
327	1961_1990	NA	8.221	29.479	5.746303558
328	1961_1990	NA	13.065	29.033	5.551989079
329	1961_1990	NA	291.864	27.747	4.509092331
330	1961_1990	NA	472.448	26.424	3.962051868
331	1961_1990	NA	191.104	26.757	4.095198154
332	1961_1990	NA	629.013	26.588	4.191273689
333	1961_1990	NA	680.581	25.962	4.01298666
334	1961_1990	NA	451.984	25.824	3.884227991
335	1961_1990	NA	82.357	26.076	4.020458221
336	1961_1990	NA	5.006	26.367	4.649784565
337	1961_1990	NA	2.469	26.657	5.166289806
338	1961_1990	NA	1.419	26.260	5.474077225
339	1961_1990	NA	2.570	29.479	5.746303558
340	1961_1990	NA	3.999	29.033	5.551989079
341	1961_1990	NA	111.176	27.747	4.509092331
